event_id,season,season_week_number,date,day_of_week,home_team,away_team
2025_next_was_sea,2025,next,2025-11-03,next,was,sea
2025_next_dal_crd,2025,next,2025-11-04,next,dal,crd
2025_next_den_rai,2025,next,2025-11-07,next,den,rai
2025_next_clt_atl,2025,next,2025-11-09,next,clt,atl
2025_next_min_rav,2025,next,2025-11-09,next,min,rav
2025_next_mia_buf,2025,next,2025-11-09,next,mia,buf
2025_next_car_nor,2025,next,2025-11-09,next,car,nor
2025_next_chi_nyg,2025,next,2025-11-09,next,chi,nyg
2025_next_nyj_cle,2025,next,2025-11-09,next,nyj,cle
2025_next_htx_jax,2025,next,2025-11-09,next,htx,jax
2025_next_tam_nwe,2025,next,2025-11-09,next,tam,nwe
2025_next_sfo_ram,2025,next,2025-11-09,next,sfo,ram
2025_next_sdg_pit,2025,next,2025-11-10,next,sdg,pit
2025_next_gnb_phi,2025,next,2025-11-11,next,gnb,phi
